model,image_severity,text_severity,value
openai_clip_b32,1,1,0.14976106333333333
openai_clip_b32,1,2,0.14267012222222222
openai_clip_b32,1,3,0.12274931222222221
openai_clip_b32,1,4,0.10266545666666667
openai_clip_b32,1,5,0.07876814
openai_clip_b32,2,1,0.14786868777777779
openai_clip_b32,2,2,0.13791372333333332
openai_clip_b32,2,3,0.1215597088888889
openai_clip_b32,2,4,0.10218276333333334
openai_clip_b32,2,5,0.07967583666666667
openai_clip_b32,3,1,0.14483236777777778
openai_clip_b32,3,2,0.13783882111111112
openai_clip_b32,3,3,0.12056194111111111
openai_clip_b32,3,4,0.1010812588888889
openai_clip_b32,3,5,0.07870631666666666
openai_clip_b32,4,1,0.1411169211111111
openai_clip_b32,4,2,0.13315035666666666
openai_clip_b32,4,3,0.11806286888888888
openai_clip_b32,4,4,0.09885805444444445
openai_clip_b32,4,5,0.07653607333333333
openai_clip_b32,5,1,0.1316599688888889
openai_clip_b32,5,2,0.12405843222222222
openai_clip_b32,5,3,0.10977445222222222
openai_clip_b32,5,4,0.09410723222222223
openai_clip_b32,5,5,0.07254243666666667
openai_clip_l14,1,1,0.1669949811111111
openai_clip_l14,1,2,0.1577231222222222
openai_clip_l14,1,3,0.13531050777777778
openai_clip_l14,1,4,0.11312139777777777
openai_clip_l14,1,5,0.08707931777777778
openai_clip_l14,2,1,0.16495185666666667
openai_clip_l14,2,2,0.15331191333333333
openai_clip_l14,2,3,0.13399685333333333
openai_clip_l14,2,4,0.11286813777777777
openai_clip_l14,2,5,0.0894407
openai_clip_l14,3,1,0.1626267711111111
openai_clip_l14,3,2,0.15330724666666665
openai_clip_l14,3,3,0.1338500377777778
openai_clip_l14,3,4,0.11245948777777777
openai_clip_l14,3,5,0.08751540333333334
openai_clip_l14,4,1,0.1608452722222222
openai_clip_l14,4,2,0.1511521311111111
openai_clip_l14,4,3,0.13176826
openai_clip_l14,4,4,0.11180993444444444
openai_clip_l14,4,5,0.08757407555555556
openai_clip_l14,5,1,0.1542471388888889
openai_clip_l14,5,2,0.14512607777777778
openai_clip_l14,5,3,0.12746241666666666
openai_clip_l14,5,4,0.11060704333333334
openai_clip_l14,5,5,0.08576442777777778
openclip_l14_laion2b,1,1,0.27728730777777777
openclip_l14_laion2b,1,2,0.2688121711111111
openclip_l14_laion2b,1,3,0.24243950222222221
openclip_l14_laion2b,1,4,0.21663649555555556
openclip_l14_laion2b,1,5,0.1884363477777778
