modality,corruption_type,severity,ssim,psnr,ed,bleu
image,gaussian_noise,1,0.7645414119055992,30.240256434391316,,
image,gaussian_noise,2,0.5375177438619271,24.37376219217094,,
image,gaussian_noise,3,0.40478774971476955,21.00048676788988,,
image,gaussian_noise,4,0.26185454858678264,16.880327157210623,,
image,gaussian_noise,5,0.16156164619758046,13.341558604242064,,
image,gaussian_blur,1,0.974629751956657,35.48775439586864,,
image,gaussian_blur,2,0.8302301261794828,27.600374594631763,,
image,gaussian_blur,3,0.672517310217806,24.276318385727855,,
image,gaussian_blur,4,0.5711863095945311,22.452889855286024,,
image,gaussian_blur,5,0.5232607430351637,21.42337366620449,,
image,cutout,1,0.9461708043188214,19.74916670412752,,
image,cutout,2,0.8943903102076272,16.620541413468874,,
image,cutout,3,0.791083597652825,13.214733854617839,,
image,cutout,4,0.6378604126593207,10.648275092787229,,
image,cutout,5,0.485612840552254,9.01137257989291,,
text,mask,1,,,0.10175491444354459,0.7406926039078583
text,mask,2,,,0.20608330026746594,0.516341296248024
text,mask,3,,,0.40260547483356746,0.1942552713026665
text,mask,4,,,0.5973945251664324,0.06106489138156052
text,mask,5,,,0.7939166997325342,0.004916082348267414
text,shuffle,1,,,0.10400836690542573,0.7625590548245077
text,shuffle,2,,,0.1109800406675098,0.7499817658955887
text,shuffle,3,,,0.2958312111366695,0.38605938945079454
text,shuffle,4,,,0.47512240505489933,0.1773988278886245
text,shuffle,5,,,0.647296626829628,0.09172820319602311
text,replace,1,,,0.10175491444354459,0.7280649987194715
text,replace,2,,,0.20608330026746594,0.5034814690523025
text,replace,3,,,0.40260547483356746,0.19482921042827087
text,replace,4,,,0.5972556362775435,0.07302122393880353
text,replace,5,,,0.7938312296470641,0.029711922101336188
