model,side,corruption_type,kind,mean,ci_lo,ci_hi,n
openai_clip_b32,image,gaussian_noise,corrupted,0.44666666666666666,0.42766666666666664,0.4656666666666667,3000
openai_clip_b32,image,gaussian_noise,clean_opposite,0.494,0.4706666666666666,0.5173333333333333,3000
openai_clip_b32,image,gaussian_blur,corrupted,0.37433333333333335,0.35666666666666663,0.39166666666666666,3000
openai_clip_b32,image,gaussian_blur,clean_opposite,0.494,0.4706666666666666,0.5173333333333333,3000
openai_clip_b32,image,cutout,corrupted,0.152,0.13633333333333333,0.167,3000
openai_clip_b32,image,cutout,clean_opposite,0.494,0.4706666666666666,0.5173333333333333,3000
openai_clip_b32,text,mask,corrupted,0.05633333333333333,0.036333333333333336,0.07500000000000001,3000
openai_clip_b32,text,mask,clean_opposite,0.5256666666666666,0.5066666666666667,0.545,3000
openai_clip_b32,text,shuffle,corrupted,0.38333333333333336,0.36133333333333334,0.4043333333333334,3000
openai_clip_b32,text,shuffle,clean_opposite,0.5256666666666666,0.5066666666666667,0.545,3000
openai_clip_b32,text,replace,corrupted,0.016666666666666666,0.011333333333333334,0.022666666666666665,3000
openai_clip_b32,text,replace,clean_opposite,0.5256666666666666,0.5066666666666667,0.545,3000
openai_clip_l14,image,gaussian_noise,corrupted,0.515,0.49666666666666665,0.5336666666666666,3000
openai_clip_l14,image,gaussian_noise,clean_opposite,0.5286666666666666,0.5066666666666667,0.5496666666666666,3000
openai_clip_l14,image,gaussian_blur,corrupted,0.47933333333333333,0.4583333333333333,0.5013333333333333,3000
openai_clip_l14,image,gaussian_blur,clean_opposite,0.5286666666666666,0.5066666666666667,0.5496666666666666,3000
openai_clip_l14,image,cutout,corrupted,0.22433333333333333,0.20333333333333337,0.245,3000
openai_clip_l14,image,cutout,clean_opposite,0.5286666666666666,0.5066666666666667,0.5496666666666666,3000
openai_clip_l14,text,mask,corrupted,0.058666666666666666,0.03766666666666667,0.07633333333333334,3000
openai_clip_l14,text,mask,clean_opposite,0.556,0.5376666666666666,0.575,3000
openai_clip_l14,text,shuffle,corrupted,0.4096666666666667,0.38933333333333336,0.4303333333333333,3000
openai_clip_l14,text,shuffle,clean_opposite,0.556,0.5376666666666666,0.575,3000
openai_clip_l14,text,replace,corrupted,0.016,0.011000000000000001,0.021666666666666667,3000
openai_clip_l14,text,replace,clean_opposite,0.556,0.5376666666666666,0.575,3000
openclip_l14_laion2b,image,gaussian_noise,corrupted,0.5493333333333333,0.5303333333333334,0.5686666666666665,3000
openclip_l14_laion2b,image,gaussian_noise,clean_opposite,0.6553333333333333,0.637,0.673,3000
openclip_l14_laion2b,image,gaussian_blur,corrupted,0.586,0.5630000000000001,0.6096666666666666,3000
openclip_l14_laion2b,image,gaussian_blur,clean_opposite,0.6553333333333333,0.637,0.673,3000
openclip_l14_laion2b,image,cutout,corrupted,0.249,0.23299999999999998,0.26466666666666666,3000
openclip_l14_laion2b,image,cutout,clean_opposite,0.6553333333333333,0.637,0.673,3000
openclip_l14_laion2b,text,mask,corrupted,0.075,0.059,0.08966666666666667,3000
openclip_l14_laion2b,text,mask,clean_opposite,0.6473333333333333,0.6286666666666667,0.6656666666666667,3000
openclip_l14_laion2b,text,shuffle,corrupted,0.55,0.5276666666666667,0.5716666666666667,3000
openclip_l14_laion2b,text,shuffle,clean_opposite,0.6473333333333333,0.6286666666666667,0.6656666666666667,3000
openclip_l14_laion2b,text,replace,corrupted,0.020666666666666667,0.012333333333333335,0.029666666666666664,3000
openclip_l14_laion2b,text,replace,clean_opposite,0.6473333333333333,0.6286666666666667,0.6656666666666667,3000
siglip2_so400m_384,image,gaussian_noise,corrupted,0.6516666666666666,0.6323333333333333,0.6713333333333334,3000
siglip2_so400m_384,image,gaussian_noise,clean_opposite,0.72,0.7026666666666666,0.737,3000
siglip2_so400m_384,image,gaussian_blur,corrupted,0.6336666666666667,0.616,0.6513333333333334,3000
siglip2_so400m_384,image,gaussian_blur,clean_opposite,0.72,0.7026666666666666,0.737,3000
siglip2_so400m_384,image,cutout,corrupted,0.39466666666666667,0.37666666666666665,0.4126666666666667,3000
siglip2_so400m_384,image,cutout,clean_opposite,0.72,0.7026666666666666,0.737,3000
siglip2_so400m_384,text,mask,corrupted,0.09,0.07433333333333335,0.10533333333333333,3000
siglip2_so400m_384,text,mask,clean_opposite,0.697,0.6803333333333333,0.714,3000
siglip2_so400m_384,text,shuffle,corrupted,0.6263333333333333,0.6073333333333334,0.6446666666666667,3000
siglip2_so400m_384,text,shuffle,clean_opposite,0.697,0.6803333333333333,0.714,3000
siglip2_so400m_384,text,replace,corrupted,0.030666666666666665,0.024000000000000004,0.037666666666666675,3000
siglip2_so400m_384,text,replace,clean_opposite,0.697,0.6803333333333333,0.714,3000
pecore_l14_336,image,gaussian_noise,corrupted,0.6776666666666666,0.6543333333333333,0.701,3000
pecore_l14_336,image,gaussian_noise,clean_opposite,0.71,0.6853333333333333,0.735,3000
pecore_l14_336,image,gaussian_blur,corrupted,0.671,0.653,0.6893333333333334,3000
pecore_l14_336,image,gaussian_blur,clean_opposite,0.71,0.6853333333333333,0.735,3000
pecore_l14_336,image,cutout,corrupted,0.4583333333333333,0.43933333333333335,0.47700000000000004,3000
pecore_l14_336,image,cutout,clean_opposite,0.71,0.6853333333333333,0.735,3000
pecore_l14_336,text,mask,corrupted,0.085,0.067,0.10233333333333333,3000
pecore_l14_336,text,mask,clean_opposite,0.703,0.685,0.7210000000000001,3000
pecore_l14_336,text,shuffle,corrupted,0.6386666666666667,0.618,0.6596666666666667,3000
pecore_l14_336,text,shuffle,clean_opposite,0.703,0.685,0.7210000000000001,3000
pecore_l14_336,text,replace,corrupted,0.024,0.015666666666666666,0.03333333333333333,3000
pecore_l14_336,text,replace,clean_opposite,0.703,0.685,0.7210000000000001,3000
